Country_ID,Geography,Category,Data Type,Unit,Current Constant,2021
21,Costa Rica,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,CRC million,Current Prices,84274.9
21,Costa Rica,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,CRC million,Current Prices,90477.4
21,Costa Rica,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,CRC million,Current Prices,46398
21,Costa Rica,Consumer Expenditure on Education,Socio-economic indicators,CRC million,Current Prices,1123486.4
21,Costa Rica,Consumer Expenditure on Personal Care,Socio-economic indicators,CRC million,Current Prices,2928288.8
21,Costa Rica,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,CRC million,Current Prices,318829
21,Costa Rica,Disposable Income,Socio-economic indicators,CRC million,Current Prices,25964926.1
21,Costa Rica,Total Population,Socio-economic indicators,0,-,5124.6
22,Côte d'Ivoire,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,XOF million,Current Prices,18328.2
22,Côte d'Ivoire,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,XOF million,Current Prices,16630.1
22,Côte d'Ivoire,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,XOF million,Current Prices,108508.9
22,Côte d'Ivoire,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,XOF million,Current Prices,170356.2
22,Côte d'Ivoire,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,XOF million,Current Prices,112575
22,Côte d'Ivoire,Consumer Expenditure on Education,Socio-economic indicators,XOF million,Current Prices,940635.3
22,Côte d'Ivoire,Consumer Expenditure on Personal Care,Socio-economic indicators,XOF million,Current Prices,496427.4
22,Côte d'Ivoire,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,XOF million,Current Prices,157130.1
22,Côte d'Ivoire,Disposable Income,Socio-economic indicators,XOF million,Current Prices,2860445.2
22,Côte d'Ivoire,Total Population,Socio-economic indicators,0,-,27478.2
23,Croatia,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,HRK million,Current Prices,4567.1
23,Croatia,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,HRK million,Current Prices,1769.7
23,Croatia,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,HRK million,Current Prices,351.7
23,Croatia,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,HRK million,Current Prices,9419.4
23,Croatia,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,HRK million,Current Prices,4891.3
23,Croatia,Consumer Expenditure on Education,Socio-economic indicators,HRK million,Current Prices,2761.8
23,Croatia,Consumer Expenditure on Personal Care,Socio-economic indicators,HRK million,Current Prices,9604.9
23,Croatia,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,HRK million,Current Prices,522.5
23,Croatia,Disposable Income,Socio-economic indicators,HRK million,Current Prices,286305
23,Croatia,Total Population,Socio-economic indicators,0,-,3916.9
24,Czech Republic,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,CZK million,Current Prices,33821.9
24,Czech Republic,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,CZK million,Current Prices,3884.1
24,Czech Republic,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,CZK million,Current Prices,42581
24,Czech Republic,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,CZK million,Current Prices,9297.3
24,Czech Republic,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,CZK million,Current Prices,19235.5
24,Czech Republic,Consumer Expenditure on Education,Socio-economic indicators,CZK million,Current Prices,1476.8
24,Czech Republic,Consumer Expenditure on Personal Care,Socio-economic indicators,CZK million,Current Prices,71783.2
24,Czech Republic,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,CZK million,Current Prices,1398.2
24,Czech Republic,Disposable Income,Socio-economic indicators,CZK million,Current Prices,3336782
24,Czech Republic,Total Population,Socio-economic indicators,0,-,10494.8
25,Denmark,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,DKK million,Current Prices,21616.1
25,Denmark,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,DKK million,Current Prices,5955.3
25,Denmark,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,DKK million,Current Prices,21633.7
25,Denmark,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,DKK million,Current Prices,49228.1
25,Denmark,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,DKK million,Current Prices,8711.2
25,Denmark,Consumer Expenditure on Education,Socio-economic indicators,DKK million,Current Prices,9855.1
25,Denmark,Consumer Expenditure on Personal Care,Socio-economic indicators,DKK million,Current Prices,23187.3
25,Denmark,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,DKK million,Current Prices,7421.9
25,Denmark,Disposable Income,Socio-economic indicators,DKK million,Current Prices,1142312
25,Denmark,Total Population,Socio-economic indicators,0,-,5840.0
26,Dominican Republic,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,DOP million,Current Prices,43312.2
